quote,name,text
It's a shame that my hands aren't my feet.,Katherine Parkinson,
I guess the problem is that time only has two hands.,Charlotte Richie,
"He's sitting under a tree, thinking of tasks and shit.",Jamali Maddix,
What else goes on a head?,Sarah Kendall,
"Ah, you fucking zebra!",Sarah Kendall,
Stop doing the thing I know you're doing!,Desiree Burch,
"Oh come on, twenty seconds to give a man a soul?",Alan Davies,
"Do you stop when it's finished, or when you've had enough?",Alan Davies,
You stay or I'll smash you to pieces.,Bridget Christie,
"Just imagine if you don't do this, someone will take my cats.",Bridget Christie,
It's floating like two dicks.,Judi Love,
Is balloon juice a thing?,Chris Ramsey,
Lotta pie.,Roisin Conaty,
"If I had my chance again, I would have blown on his lips.",Tim Key,
I'm not an egg man.,Doc Brown,
"The bastard's cryin', innit?",Paul Chowdry,
"Camouflage, camouflage, camouflage.",Lolly Adefope,
"Not enough to sting, just enough to make you think.",Tim Vine,
Will you catch my potato?,Liza Tarbuck,
H. Urinating. Piss.,Asim Chaudhry,
I can't be fucked to plug it in.,Kerry Godliman,
How much does water weigh?,Jessica Knappet,
A LIME!,Phil Wang,
"Puppets, sexy, that's me.",Iain Sterling,
I don't think this is proper cowboy rope.,Ed Gamble,
I've panicked and opened a lemon up.,Ed Gamble,
There's probably a way to get a sofa through a doughnut.,Krishnan Guru-Murthy,
"It's bamboo o'clock, tick tock.",Mike Wozniak,
You suck on that and think about things.,Desiree Burch,
"I'm gonna do your nipples first, then your face.",Sophie Duker,
Just eat your fucking worm!,Bridget Christie,
I think I had pandas in my cooch when I climbed that tree.,Sophie Duker,
Papa don’t breach.,Roisin Conaty,
That potato would have been all rim and bounced out.,Doc Brown,
Real gangsters run red lights. You know what I’m saying?,Katherine Ryan,
I’m not going to hoover it off the table like some egg-hungry whore.,Jon Richardson,
The movement of our potato was crazy smooth.,Doc Brown,
There’s strength in arches.,Joe Wilkinson,
"Bastard’s crying, innit?",Paul Chaudry,
"Oh, gang.",Mel Giedroyc,
Friendship is truth.,Lolly Adefope,
"And then he just stood there, pissing water into a bath while Rome burned.",Greg Davies,
You bubbly fuck!,Nish Kumar,
"Looks like last in PE, first in being a legend!",Nish Kumar,
Have you ever seen or eaten a wind-dried puffin?,Bob Mortimer,
